"","dispnum","stabb","ccode","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version","outcome","settle","recip","numa","numb","COWcode","year"
"3432",3180,"IRQ",645,28,12,1981,3,1,1982,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,645,1981
"3433",3180,"ISR",666,28,12,1981,3,1,1982,1,1,2,-9,0,0,12,3,1,5,5,3,0,1,1,666,1981
"3463",3192,"UKG",200,5,10,1946,5,10,1946,1,0,0,-9,0,0,12,3,1,5,5,3,1,1,1,200,1946
"3464",3192,"YUG",345,5,10,1946,5,10,1946,0,0,0,-9,0,0,16,4,1,5,5,3,1,1,1,345,1946
"3465",3193,"YUG",345,9,8,1946,31,8,1946,0,0,0,-9,0,0,16,4,1,5,5,3,1,1,1,345,1946
"3466",3193,"USA",2,9,8,1946,31,8,1946,1,0,0,-9,1,-9,12,3,1,5,5,3,1,1,1,2,1946
"3467",3195,"UKG",200,17,5,1951,8,9,1951,1,1,2,-9,0,0,7,3,1,5,3,3,1,1,2,200,1951
"3468",3195,"IRN",630,17,5,1951,8,9,1951,0,0,0,-9,0,0,7,3,1,5,3,3,1,1,2,630,1951
"3469",3195,"USR",365,6,6,1951,8,9,1951,0,0,0,-9,0,0,7,3,0,5,3,3,1,1,2,365,1951
"3470",3196,"UKG",200,3,5,1950,27,9,1950,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,200,1950
"3471",3196,"USR",365,3,5,1950,27,9,1950,1,1,2,-9,0,0,15,4,1,5,5,3,0,1,1,365,1950
"3472",3197,"GRC",350,19,4,1950,19,4,1950,1,0,0,-9,0,0,12,3,1,5,5,3,0,1,1,350,1950
"3473",3197,"BUL",355,19,4,1950,19,4,1950,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,355,1950
"3474",3199,"USR",365,2,8,1951,2,8,1951,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,365,1951
"3475",3199,"IRN",630,2,8,1951,2,8,1951,1,1,2,-9,0,0,16,4,1,5,5,3,0,1,1,630,1951
"3476",3200,"TUR",640,1,5,1952,1,5,1952,1,0,0,-9,0,0,17,4,1,5,5,3,1,1,1,640,1952
"3477",3200,"BUL",355,1,5,1952,1,5,1952,0,0,0,-9,0,0,17,4,1,5,5,3,1,1,1,355,1952
"3478",3202,"ITA",325,8,6,1952,14,6,1952,1,0,0,-9,0,0,12,3,1,5,5,3,0,1,1,325,1952
"3479",3202,"ALB",339,8,6,1952,14,6,1952,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,339,1952
"3480",3203,"TAW",713,10,9,1953,10,9,1953,1,1,2,-9,0,0,15,4,1,5,7,3,0,1,1,713,1953
"3481",3203,"CZE",315,10,9,1953,10,9,1953,0,0,0,-9,0,0,0,1,1,5,7,3,0,1,1,315,1953
"3482",3205,"ITA",325,21,5,1954,22,5,1954,0,0,0,-9,0,0,15,4,1,5,7,3,1,1,1,325,1954
"3483",3205,"YUG",345,21,5,1954,22,5,1954,1,0,0,-9,0,0,16,4,1,5,7,3,1,1,1,345,1954
"3484",3206,"ZAI",490,-9,5,1969,15,8,1969,0,0,0,-9,0,0,15,4,1,5,7,3,1,1,1,490,1969
"3485",3206,"POR",235,-9,5,1969,15,8,1969,1,0,0,-9,0,0,12,3,1,5,7,3,1,1,1,235,1969
